"Subtype","host.target.pair","hits.count","host.acc.","phages.targeted","target.acc.","hosts.targeting","PPS_location","Spacers"
"I-F","GCF_000236035.1$4_3672604-3709858_NC_019905_PHAGE_Pseudo_phiCTX$I-F",2,"GCF_000236035.1",1,"4_3672604-3709858_NC_019905_PHAGE_Pseudo_phiCTX",1,2992,"c(93, 60)"
"I-B","GCF_001282665.1$8_2363627-2390315_AESC00000000_PHAGE_Bacill_SP10$I-B",2,"GCF_001282665.1",5,"8_2363627-2390315_AESC00000000_PHAGE_Bacill_SP10",1,26394,"c(92, 9)"
"I-F","GCF_000368205.1$3_906908-949946_APRN01000036_PHAGE_Bordet_BIP_1_NC_005809(15)$I-F",2,"GCF_000368205.1",4,"3_906908-949946_APRN01000036_PHAGE_Bordet_BIP_1_NC_005809(15)",2,38374,"c(92, 21)"
"I-F","GCF_000581775.1$1_62481-138679_AEPA00000000_PHAGE_Acinet_Bphi_B1251$I-F",4,"GCF_000581775.1",3,"1_62481-138679_AEPA00000000_PHAGE_Acinet_Bphi_B1251",1,21948,"c(89, 82, 7, 5)"
"I-C","GCF_001637335.1$2_254663-427672_JF801956.1_PHAGE_Acanth_mimivirus_NC_014649(147)$I-C",2,"GCF_001637335.1",1,"2_254663-427672_JF801956.1_PHAGE_Acanth_mimivirus_NC_014649(147)",1,144902,"c(89, 77)"
"I-B","GCF_001601575.1$HQ698922$I-B",3,"GCF_001601575.1",5,"HQ698922",1,41329,"c(88, 63, 36)"
"I-E","GCF_001970915.1$1_755677-783330_NC_018700_PHAGE_Rhizob_3$I-E",2,"GCF_001970915.1",2,"1_755677-783330_NC_018700_PHAGE_Rhizob_3",1,19376,"c(88, 3)"
"I-F","GCF_000581775.1$11_2231911-2253991_AP013357.1_PHAGE_Entero_mEp235(5)$I-F",2,"GCF_000581775.1",3,"11_2231911-2253991_AP013357.1_PHAGE_Entero_mEp235(5)",1,1142,"c(85, 15)"
"I-F","GCF_000581715.1$15_3275620-3297520_AP013357.1_PHAGE_Pseudo_phiCTX(11)$I-F",2,"GCF_000581715.1",3,"15_3275620-3297520_AP013357.1_PHAGE_Pseudo_phiCTX(11)",1,5282,"c(79, 70)"
"I-F","GCF_001995995.1$5_5029078-5061136_CP007044_PHAGE_Stx2_converting_II_NC_004914(18)$I-F",2,"GCF_001995995.1",1,"5_5029078-5061136_CP007044_PHAGE_Stx2_converting_II_NC_004914(18)",1,16020,"c(79, 18)"
"I-E","GCF_001970915.1$1_916135-959553_NC_010528_PHAGE_Burkho_KS5$I-E",2,"GCF_001970915.1",2,"1_916135-959553_NC_010528_PHAGE_Burkho_KS5",1,30797,"c(78, 17)"
"I-C","GCF_900092025.1$AB720064$I-C",3,"GCF_900092025.1",2,"AB720064",1,22482,"c(77, 41, 35)"
"II-A","GCF_900104595.1$3300011663_____Ga0121550_100226$II-A",2,"GCF_900104595.1",1,"3300011663_____Ga0121550_100226",1,34656,"c(75, 67)"
"III-C","GCF_000007065.1$HQ633071$III-C",2,"GCF_000007065.1",1,"HQ633071",1,181382,"c(72, 35)"
"I-F","GCF_000368205.1$1_548347-582474_CU459141.1_PHAGE_Pseudo_phiCTX_NC_003278(18)$I-F",5,"GCF_000368205.1",4,"1_548347-582474_CU459141.1_PHAGE_Pseudo_phiCTX_NC_003278(18)",1,9166,"c(72, 70, 67, 2, 1)"
"I-B","GCF_000158835.2$5_659493-683760_NC_022660_$I-B",2,"GCF_000158835.2",4,"5_659493-683760_NC_022660_",1,19798,"c(72, 70)"
"II-C","GCF_000400995.2$3300011741_____Ga0122853_100022$II-C",2,"GCF_000400995.2",2,"3300011741_____Ga0122853_100022",1,11374,"c(72, 40)"
"I-F","GCF_001298125.1$KY045851$I-F",2,"GCF_001298125.1",1,"KY045851",1,9623,"c(71, 10)"
"I-F","GCF_000017325.1$KJ018212$I-F",2,"GCF_000017325.1",3,"KJ018212",1,34986,"c(70, 15)"
"I-F","GCF_000580975.1$2_1857331-1885678_ADCH00000000_PHAGE_Pelagi_HTVC010P$I-F",2,"GCF_000580975.1",1,"2_1857331-1885678_ADCH00000000_PHAGE_Pelagi_HTVC010P",2,18247,"c(69, 51)"
"I-B","GCF_000762265.1$4_1915877-1947677_AFTU00000000_PHAGE_Staphy_PT1028$I-B",2,"GCF_000762265.1",1,"4_1915877-1947677_AFTU00000000_PHAGE_Staphy_PT1028",1,18676,"c(68, 12)"
"I-C","GCF_001598795.1$3_2121008-2145095_CP000884.1_PHAGE_Pseudo_LUZ24$I-C",2,"GCF_001598795.1",2,"3_2121008-2145095_CP000884.1_PHAGE_Pseudo_LUZ24",2,15630,"c(64, 57)"
"I-F","GCF_001682645.1$3_2121008-2145095_CP000884.1_PHAGE_Pseudo_LUZ24$I-F",2,"GCF_001682645.1",4,"3_2121008-2145095_CP000884.1_PHAGE_Pseudo_LUZ24",2,10911,"c(64, 21)"
"I-E","GCF_001305195.1$1_975329-988122_ABQP00000000_PHAGE_Mycoba_TM4$I-E",2,"GCF_001305195.1",1,"1_975329-988122_ABQP00000000_PHAGE_Mycoba_TM4",1,7002,"c(63, 4)"
"I-C","GCF_000310125.2$1_226134-264070_AMXC01000001_PHAGE_Pseudo_MP42_NC_018274(8)$I-C",3,"GCF_000310125.2",2,"1_226134-264070_AMXC01000001_PHAGE_Pseudo_MP42_NC_018274(8)",2,23016,"c(63, 53, 47)"
"I-C","GCF_000183565.1$5_1681252-1744153_AEEH00000000_PHAGE_Phage_OH2(14)$I-C",2,"GCF_000183565.1",1,"5_1681252-1744153_AEEH00000000_PHAGE_Phage_OH2(14)",1,37994,"c(63, 52)"
"I-B","GCF_000447865.2$KT809302$I-B",2,"GCF_000447865.2",1,"KT809302",1,12599,"c(62, 58)"
"I-F","GCF_000820025.1$1_12352-50688_AGWU01000008_PHAGE_Vibrio_12B12_NC_021070(35)$I-F",2,"GCF_000820025.1",2,"1_12352-50688_AGWU01000008_PHAGE_Vibrio_12B12_NC_021070(35)",1,25818,"c(61, 29)"
"I-E","GCF_000968195.1$10_3282698-3350100_NC_014228_PHAGE_Entero_Mu$I-E",3,"GCF_000968195.1",1,"10_3282698-3350100_NC_014228_PHAGE_Entero_Mu",1,17032,"c(61, 58, 49)"
"I-B","GCF_000178135.1$3300014011_____Ga0121714_100030$I-B",2,"GCF_000178135.1",2,"3300014011_____Ga0121714_100030",1,16228,"c(61, 57)"
"I-B","GCF_001601575.1$1_902974-937973_NC_014657_PHAGE_Deep_s_D6E$I-B",5,"GCF_001601575.1",5,"1_902974-937973_NC_014657_PHAGE_Deep_s_D6E",1,17857,"c(60, 54, 49, 45, 44)"
"I-B","GCF_900092375.1$HE608841$I-B",2,"GCF_900092375.1",4,"HE608841",1,2882,"c(59, 20)"
"I-C","GCF_000934705.1$2_4600889-4659292_NC_009512_PHAGE_Pseudo_D3$I-C",2,"GCF_000934705.1",1,"2_4600889-4659292_NC_009512_PHAGE_Pseudo_D3",1,16704,"c(58, 17)"
"I-F","GCF_000223095.1$HG803181$I-F",2,"GCF_000223095.1",2,"HG803181",1,18736,"c(56, 40)"
"I-B","GCF_000214725.1$KT895374$I-B",2,"GCF_000214725.1",1,"KT895374",1,91284,"c(56, 24)"
"I-F","GCF_000733775.1$1_1512368-1549551_CP000270.1_PHAGE_Entero_SfV_NC_003444(10)$I-F",2,"GCF_000733775.1",1,"1_1512368-1549551_CP000270.1_PHAGE_Entero_SfV_NC_003444(10)",1,17326,"c(56, 46)"
"I-F","GCF_000018665.1$2_128523-173560_AGYX01000001_PHAGE_Stenot_S1_NC_011589(6)$I-F",3,"GCF_000018665.1",1,"2_128523-173560_AGYX01000001_PHAGE_Stenot_S1_NC_011589(6)",1,21488,"c(56, 55, 10)"
"I-F","GCF_001682645.1$4_4943027-4981768_NC_015563_PHAGE_Burkho_phiE202$I-F",4,"GCF_001682645.1",4,"4_4943027-4981768_NC_015563_PHAGE_Burkho_phiE202",1,11604,"c(56, 17, 9, 8)"
"I-F","GCF_000016585.1$2_2614748-2627725_CP002811_PHAGE_Vibrio_Vf33$I-F",2,"GCF_000016585.1",1,"2_2614748-2627725_CP002811_PHAGE_Vibrio_Vf33",1,6110,"c(55, 42)"
"I-F","GCF_000934145.1$2_1857331-1885678_ADCH00000000_PHAGE_Pelagi_HTVC010P$I-F",2,"GCF_000934145.1",2,"2_1857331-1885678_ADCH00000000_PHAGE_Pelagi_HTVC010P",2,9615,"c(54, 43)"
"I-F","GCF_000581715.1$3_1899037-1914977_CU459141.1_PHAGE_Entero_Ike_NC_002014(2)$I-F",2,"GCF_000581715.1",3,"3_1899037-1914977_CU459141.1_PHAGE_Entero_Ike_NC_002014(2)",1,1620,"c(53, 14)"
"I-B","GCF_001562415.1$4_2672706-2698835_AOSX00000000.1_PHAGE_Cellul_phi13:2_NC_021803(3)$I-B",2,"GCF_001562415.1",1,"4_2672706-2698835_AOSX00000000.1_PHAGE_Cellul_phi13:2_NC_021803(3)",1,11530,"c(53, 11)"
"I-B","GCF_000949285.1$5_1006218-1048994_NC_023134_PHAGE_Paenib_PG1_NC_021558(4)$I-B",2,"GCF_000949285.1",1,"5_1006218-1048994_NC_023134_PHAGE_Paenib_PG1_NC_021558(4)",1,4422,"c(52, 9)"
"I-E","GCF_000020585.3$1_1942293-1954216_CP003917.1_PHAGE_Burkho_BcepIL02_NC_012743(2)$I-E",4,"GCF_000020585.3",1,"1_1942293-1954216_CP003917.1_PHAGE_Burkho_BcepIL02_NC_012743(2)",1,42,"c(50, 43, 40, 17)"
"II-C","GCF_000805695.1$3300011654_____Ga0122276_100111$II-C",4,"GCF_000805695.1",2,"3300011654_____Ga0122276_100111",1,17456,"c(49, 38, 12, 9)"
"I-F","GCF_000214395.1$8_4483010-4517047_CP000884.1_PHAGE_phiJL001$I-F",3,"GCF_000214395.1",3,"8_4483010-4517047_CP000884.1_PHAGE_phiJL001",1,26976,"c(49, 38, 6)"
"I-C","GCF_000261345.2$1_1608455-1634851_ADFC00000000_PHAGE_Strept_SV1$I-C",3,"GCF_000261345.2",1,"1_1608455-1634851_ADFC00000000_PHAGE_Strept_SV1",4,21506,"c(49, 24, 17)"
"I-B","GCF_000168595.2$KJ094025$I-B",2,"GCF_000168595.2",5,"KJ094025",1,38384,"c(48, 12)"
"I-B","GCF_900092375.1$5_1731802-1757097_ACUO00000000_PHAGE_Burkho_KS10$I-B",2,"GCF_900092375.1",4,"5_1731802-1757097_ACUO00000000_PHAGE_Burkho_KS10",1,22542,"c(47, 31)"
"II-A","GCF_000805355.1$3300014203_____Ga0172378_10006390$II-A",3,"GCF_000805355.1",2,"3300014203_____Ga0172378_10006390",1,3570,"c(47, 31, 22)"
"II-A","GCF_000008185.1$3300013753_____Ga0119809_1002570$II-A",3,"GCF_000008185.1",2,"3300013753_____Ga0119809_1002570",1,7350,"c(47, 37, 19)"
"I-C","GCF_002160825.1$3300008103_____Ga0114180_100252$I-C",2,"GCF_002160825.1",1,"3300008103_____Ga0114180_100252",1,22347,"c(47, 14)"
"I-F","GCF_001247655.1$1_76590-109140_AMRI01000009_PHAGE_Vibrio_12B12_NC_021070(15)$I-F",3,"GCF_001247655.1",1,"1_76590-109140_AMRI01000009_PHAGE_Vibrio_12B12_NC_021070(15)",1,15820,"c(46, 45, 8)"
"I-F","GCF_000453465.1$1_50-25431_AIEF01000044_PHAGE_Haemop_SuMu_NC_019455(9)$I-F",3,"GCF_000453465.1",3,"1_50-25431_AIEF01000044_PHAGE_Haemop_SuMu_NC_019455(9)",1,14252,"c(45, 40, 36)"
"I-C","GCF_001486665.1$3300006299_____Ga0099524_100370$I-C",2,"GCF_001486665.1",1,"3300006299_____Ga0099524_100370",1,4130,"c(45, 43)"
"I-E","GCF_000158955.1$3_5397076-5412037_FN554889_PHAGE_Mycoba_Che9c$I-E",3,"GCF_000158955.1",2,"3_5397076-5412037_FN554889_PHAGE_Mycoba_Che9c",2,276,"c(44, 31, 15)"
"I-C","GCF_000513115.1$1_636500-673354_NC_020244_PHAGE_Bacill_PBC1$I-C",2,"GCF_000513115.1",1,"1_636500-673354_NC_020244_PHAGE_Bacill_PBC1",1,22492,"c(44, 1)"
"I-F","GCF_000367965.1$5_2277111-2302120_ACYQ00000000_PHAGE_Acinet_Bphi_B1251$I-F",2,"GCF_000367965.1",2,"5_2277111-2302120_ACYQ00000000_PHAGE_Acinet_Bphi_B1251",3,12564,"c(44, 23)"
"I-F","GCF_000805455.1$5_2277111-2302120_ACYQ00000000_PHAGE_Acinet_Bphi_B1251$I-F",2,"GCF_000805455.1",1,"5_2277111-2302120_ACYQ00000000_PHAGE_Acinet_Bphi_B1251",3,12940,"c(44, 16)"
"I-B","GCF_000168595.2$2_524127-540218_AARO00000000_PHAGE_Lister_A006$I-B",2,"GCF_000168595.2",5,"2_524127-540218_AARO00000000_PHAGE_Lister_A006",1,8086,"c(43, 17)"
"I-C","GCF_000175795.2$3_1316704-1379312_NC_016791_PHAGE_Bacill_phIS3501(9)$I-C",2,"GCF_000175795.2",1,"3_1316704-1379312_NC_016791_PHAGE_Bacill_phIS3501(9)",1,20578,"c(43, 38)"
"I-B","GCF_000723845.1$1_231452-252025_NC_013967_PHAGE_Haloge_1$I-B",2,"GCF_000723845.1",1,"1_231452-252025_NC_013967_PHAGE_Haloge_1",1,8370,"c(43, 36)"
"I-F","GCF_001544395.1$8_3912982-3924520_AEPK00000000_PHAGE_Acinet_Bphi_B1251$I-F",2,"GCF_001544395.1",2,"8_3912982-3924520_AEPK00000000_PHAGE_Acinet_Bphi_B1251",3,9390,"c(43, 30)"
"I-C","GCF_000013785.1$AP014684$I-C",4,"GCF_000013785.1",1,"AP014684",1,18301,"c(42, 39, 29, 17)"
"I-B","GCF_000011085.1$1_22542-34943_NC_023013_PHAGE_Haloru_pleomorphic_virus_1_NC_012558(6)$I-B",2,"GCF_000011085.1",1,"1_22542-34943_NC_023013_PHAGE_Haloru_pleomorphic_virus_1_NC_012558(6)",1,4008,"c(42, 4)"
"II-A","GCF_000440395.1$3300007531_____Ga0105502_1001163$II-A",2,"GCF_000440395.1",2,"3300007531_____Ga0105502_1001163",1,3289,"c(42, 1)"
"II-C","GCF_002177115.1$3300013467_____Ga0121038_10124$II-C",2,"GCF_002177115.1",1,"3300013467_____Ga0121038_10124",1,5346,"c(42, 41)"
"I-B","GCF_001263795.1$CP011103$I-B",2,"GCF_001263795.1",1,"CP011103",2,23239,"c(41, 35)"
"I-F","GCF_002180335.1$KT898134$I-F",2,"GCF_002180335.1",2,"KT898134",1,5016,"c(41, 40)"
"I-E","GCF_000818015.1$2_18143-39735_AMCZ02000035_PHAGE_Pseudo_vB_PaeS_PMG1_NC_016765(3)$I-E",3,"GCF_000818015.1",1,"2_18143-39735_AMCZ02000035_PHAGE_Pseudo_vB_PaeS_PMG1_NC_016765(3)",1,20546,"c(41, 20, 5)"
"I-C","GCF_002160935.1$6_3026907-3040150_ACBZ00000000_PHAGE_Brocho_NF5$I-C",2,"GCF_002160935.1",1,"6_3026907-3040150_ACBZ00000000_PHAGE_Brocho_NF5",1,8548,"c(41, 39)"
"II-C","GCF_000008365.1$3300000115_____DelMOSum2011_c10000125$II-C",2,"GCF_000008365.1",2,"3300000115_____DelMOSum2011_c10000125",1,30926,"c(41, 8)"
"I-E","GCF_900049755.1$1_971048-1006402_CP002917.1_PHAGE_Rhodoc_REQ3$I-E",2,"GCF_900049755.1",1,"1_971048-1006402_CP002917.1_PHAGE_Rhodoc_REQ3",1,17306,"c(40, 39)"
"I-C","GCF_000504425.1$KF977490$I-C",2,"GCF_000504425.1",2,"KF977490",1,28792,"c(40, 30)"
"I-E","GCF_001814605.1$KY653127$I-E",3,"GCF_001814605.1",2,"KY653127",1,36888,"c(40, 22, 12)"
"I-E","GCF_000022905.1$1_2532933-2557112_ACLH00000000_PHAGE_Rhodoc_REQ3$I-E",2,"GCF_000022905.1",1,"1_2532933-2557112_ACLH00000000_PHAGE_Rhodoc_REQ3",1,2904,"c(40, 33)"
"I-F","GCF_000581855.1$3_2084959-2097794_AFSZ00000000_PHAGE_Stx2_c_1717$I-F",4,"GCF_000581855.1",7,"3_2084959-2097794_AFSZ00000000_PHAGE_Stx2_c_1717",1,3974,"c(38, 32, 31, 28)"
"II-C","GCF_000286735.1$3300006464_____Ga0100221_1000007$II-C",2,"GCF_000286735.1",1,"3300006464_____Ga0100221_1000007",1,169950,"c(38, 32)"
"I-B","GCF_000498455.1$2_266670-516772_NC_014649.1_PHAGE_Acanth_mimivirus_NC_014649(194)$I-B",2,"GCF_000498455.1",1,"2_266670-516772_NC_014649.1_PHAGE_Acanth_mimivirus_NC_014649(194)",1,205052,"c(37, 13)"
"I-C","GCF_000440655.1$1_1205279-1239049_NC_022665_PHAGE_Strept_PH10_NC_012756(15)$I-C",2,"GCF_000440655.1",1,"1_1205279-1239049_NC_022665_PHAGE_Strept_PH10_NC_012756(15)",2,14903,"c(37, 17)"
"II-A","GCF_000741615.1$1_2051152-2092043_ACCG00000000_PHAGE_Microb_Min1$II-A",2,"GCF_000741615.1",3,"1_2051152-2092043_ACCG00000000_PHAGE_Microb_Min1",3,12714,"c(37, 27)"
"II-C","GCF_000564995.1$7000000663_____SRS016319_WUGC_scaffold_54144$II-C",3,"GCF_000564995.1",1,"7000000663_____SRS016319_WUGC_scaffold_54144",1,4186,"c(37, 26, 6)"
"II-C","GCF_002209445.1$3300007206_____Ga0103276_1000754$II-C",2,"GCF_002209445.1",3,"3300007206_____Ga0103276_1000754",1,7694,"c(36, 32)"
"II-C","GCF_000805695.1$3300011949_____Ga0120955_100059$II-C",4,"GCF_000805695.1",2,"3300011949_____Ga0120955_100059",1,8504,"c(36, 24, 13, 11)"
"I-F","GCF_000223095.1$2_1418364-1456993_AATY00000000_PHAGE_Vibrio_VHML$I-F",2,"GCF_000223095.1",2,"2_1418364-1456993_AATY00000000_PHAGE_Vibrio_VHML",2,13410,"c(36, 28)"
"II-C","GCF_000020605.1$3300014776_____Ga0134555_1000237$II-C",4,"GCF_000020605.1",2,"3300014776_____Ga0134555_1000237",1,6046,"c(36, 34, 31, 15)"
"I-C","GCF_000223925.1$KT887558$I-C",2,"GCF_000223925.1",1,"KT887558",1,7692,"c(35, 21)"
"I-B","GCF_000163295.1$3_1288053-1321043_AEXN00000000_PHAGE_Strept_3$I-B",3,"GCF_000163295.1",3,"3_1288053-1321043_AEXN00000000_PHAGE_Strept_3",3,18240,"c(35, 34, 16)"
"I-E","GCF_000283535.1$3_2549819-2576402_ACIS00000000_PHAGE_Thermu_26$I-E",2,"GCF_000283535.1",1,"3_2549819-2576402_ACIS00000000_PHAGE_Thermu_26",1,2120,"c(35, 29)"
"I-E","GCF_000717215.1$1_1608455-1634851_ADFC00000000_PHAGE_Strept_SV1$I-E",2,"GCF_000717215.1",1,"1_1608455-1634851_ADFC00000000_PHAGE_Strept_SV1",4,6588,"c(35, 10)"
"I-B","GCF_001748485.1$5_2921887-2968318_NC_009012_PHAGE_Phage_OH2(17)$I-B",2,"GCF_001748485.1",1,"5_2921887-2968318_NC_009012_PHAGE_Phage_OH2(17)",1,23940,"c(35, 31)"
"I-F","GCF_000619885.1$AB775548$I-F",2,"GCF_000619885.1",1,"AB775548",2,26349,"c(34, 30)"
"I-F","GCF_001660815.1$2_251524-271683_FP565176_PHAGE_Pseudo_B3$I-F",2,"GCF_001660815.1",1,"2_251524-271683_FP565176_PHAGE_Pseudo_B3",1,14804,"c(34, 25)"
"I-C","GCF_001696715.1$1_226134-264070_AMXC01000001_PHAGE_Pseudo_MP42_NC_018274(8)$I-C",2,"GCF_001696715.1",1,"1_226134-264070_AMXC01000001_PHAGE_Pseudo_MP42_NC_018274(8)",2,26660,"c(34, 32)"
"I-B","GCF_000337355.1$1_3023950-3045475_NC_007760_PROPHAGE_Escher_Sakai$I-B",2,"GCF_000337355.1",1,"1_3023950-3045475_NC_007760_PROPHAGE_Escher_Sakai",1,12596,"c(34, 10)"
"II-C","GCF_000710665.1$3300006879_____Ga0079226_10000282$II-C",2,"GCF_000710665.1",2,"3300006879_____Ga0079226_10000282",1,23968,"c(33, 20)"
"I-E","GCF_000262305.1$2_3285031-3332525_CP003026.1_PHAGE_Salmon_ST64B$I-E",2,"GCF_000262305.1",1,"2_3285031-3332525_CP003026.1_PHAGE_Salmon_ST64B",1,11500,"c(33, 26)"
"I-C","GCF_001683335.1$1_1033164-1089759_AENV00000000_PHAGE_Thermo_THSA_485A$I-C",2,"GCF_001683335.1",2,"1_1033164-1089759_AENV00000000_PHAGE_Thermo_THSA_485A",1,15991,"c(33, 23)"
"I-E","GCF_001043885.1$1_4563213-4590321_NC_010511_PHAGE_Pseudo_phiCTX$I-E",2,"GCF_001043885.1",1,"1_4563213-4590321_NC_010511_PHAGE_Pseudo_phiCTX",1,20010,"c(32, 21)"
"II-A","GCF_000526815.1$2_978338-1031048_NC_008525_PHAGE_Lactob_Sha1$II-A",2,"GCF_000526815.1",1,"2_978338-1031048_NC_008525_PHAGE_Lactob_Sha1",1,19278,"c(32, 9)"
"I-C","GCF_001683335.1$3_540433-577235_AEEJ00000000_PHAGE_Geobac_GBSV1$I-C",2,"GCF_001683335.1",2,"3_540433-577235_AEEJ00000000_PHAGE_Geobac_GBSV1",1,14639,"c(32, 31)"
"II-C","GCF_000390185.1$3300014059_____Ga0119868_1000053$II-C",2,"GCF_000390185.1",1,"3300014059_____Ga0119868_1000053",1,58778,"c(32, 12)"
"I-F","GCF_000214395.1$1_2017944-2121133_CP003961.1_PHAGE_Pseudo_vB_PaeS_PMG1_NC_016765(17)$I-F",2,"GCF_000214395.1",3,"1_2017944-2121133_CP003961.1_PHAGE_Pseudo_vB_PaeS_PMG1_NC_016765(17)",3,16002,"c(31, 9)"
"I-C","GCF_000568975.1$2_974470-1000850_AAXD00000000_PHAGE_Strept_VWB$I-C",2,"GCF_000568975.1",2,"2_974470-1000850_AAXD00000000_PHAGE_Strept_VWB",1,10149,"c(31, 28)"
"I-F","GCF_001696615.2$5_3062364-3086249_ACVR00000000_PHAGE_Acinet_Bphi_B1251$I-F",2,"GCF_001696615.2",1,"5_3062364-3086249_ACVR00000000_PHAGE_Acinet_Bphi_B1251",1,11052,"c(31, 1)"
"I-E","GCF_000238715.1$KY271397$I-E",2,"GCF_000238715.1",1,"KY271397",1,10496,"c(30, 17)"
"I-B","GCF_000451805.1$LN681541$I-B",2,"GCF_000451805.1",2,"LN681541",2,17238,"c(30, 1)"
"I-F","GCF_000214395.1$2_1327010-1357327_CP002449.1_PHAGE_Burkho_KS14$I-F",2,"GCF_000214395.1",3,"2_1327010-1357327_CP002449.1_PHAGE_Burkho_KS14",1,13730,"c(30, 29)"
"I-F","GCF_002215055.1$7_1684375-1717618_CP001154.1_PHAGE_Pseudo_phi297_NC_016762(7)$I-F",2,"GCF_002215055.1",1,"7_1684375-1717618_CP001154.1_PHAGE_Pseudo_phi297_NC_016762(7)",1,25318,"c(30, 12)"
"I-B","GCF_002220795.1$3300014205_____Ga0172380_10000005$I-B",2,"GCF_002220795.1",1,"3300014205_____Ga0172380_10000005",1,191202,"c(30, 2)"
"I-C","GCF_000372885.1$1_64860-95537_AGUF01000046.1_PHAGE_Burkho_BcepB1A$I-C",2,"GCF_000372885.1",2,"1_64860-95537_AGUF01000046.1_PHAGE_Burkho_BcepB1A",1,5108,"c(29, 19)"
"I-C","GCF_000568975.1$3_1295590-1313685_AAXD00000000_PHAGE_Microb_Min1$I-C",2,"GCF_000568975.1",2,"3_1295590-1313685_AAXD00000000_PHAGE_Microb_Min1",1,866,"c(29, 1)"
"I-B","GCF_000217755.1$2_647357-716961_ACGS00000000_PHAGE_Lactoc_ul36$I-B",2,"GCF_000217755.1",2,"2_647357-716961_ACGS00000000_PHAGE_Lactoc_ul36",1,41004,"c(29, 19)"
"II-C","GCF_000194605.1$3300012904_____Ga0157282_10000003$II-C",2,"GCF_000194605.1",1,"3300012904_____Ga0157282_10000003",1,8245,"c(29, 1)"
