Profile_ID	Gene_name	CRISPR.Cas_system_associated	Description	x
pfam09484	cas8b1	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b1	I-B
mkCas0151	cas8b10	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b10	I-B
cd09665	cas8b2	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b2	I-B
cd09697	cas8b2	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b2	I-B
cd09744	cas8b2	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b2	I-B
cd09754	cas8b2	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b2	I-B
cls000029	cas8b2	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b2	I-B
cls000100	cas8b2	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b2	I-B
pfam09657	cas8b2	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b2	I-B
pfam09706	cas8b2	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b2	I-B
cd09713	cas8b3	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b3	I-B
cd09714	cas8b3	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b3	I-B
mkCas0177	cas8b3	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b3	I-B
cd09715	cas8b4	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b4	I-B
mkCas0131	cas8b5	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b5	I-B
mkCas0111	cas8b6	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b6	I-B
mkCas0158	cas8b7	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b7	I-B
cls000685	cas8b8	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b8	I-B
mkCas0203	cas8b9	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b9	I-B
pfam05107	cas7b	CAS-I-B,CAS-I-C	Type_I-B_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7b	-
cd09721	cas1	CAS-I-C	Type_I-C_CRISPR-Cas_system_spacer_integrase_Cas1	-
cd09651	cas5	CAS-I-C	Type_I-C_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5	-
cd09752	cas5	CAS-I-C	Type_I-C_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5	-
COG3649	cas7	CAS-I-C	Type_I-C_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7	-
cd09640	cas7	CAS-I-C	Type_I-C_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7	-
cd09689	cas7	CAS-I-C	Type_I-C_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7	-
cd09642	cas8c	CAS-I-C	Type_I-C_CRISPR_system_effector_complex_large_subunit_Cas8c	I-C
cd09757	cas8c	CAS-I-C	Type_I-C_CRISPR_system_effector_complex_large_subunit_Cas8c	I-C
mkCas0173	cas8c	CAS-I-C	Type_I-C_CRISPR_system_effector_complex_large_subunit_Cas8c	I-C
pfam09709	cas8c	CAS-I-C	Type_I-C_CRISPR_system_effector_complex_large_subunit_Cas8c	I-C
mkCas0094	cas11d	CAS-I-D	Type_I-D_CRISPR_system_effector_complex_small_subunit_Cas11d	-
cd09710	cas3	CAS-I-D	Type_I-D_CRISPR-Cas_system_helicase_and_endonuclease_Cas3	-
cd09711	csc1gr5	CAS-I-D	Type_I-D_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5d/Csc1	-
mkCas0092	csc1gr5	CAS-I-D	Type_I-D_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5d/Csc1	-
mkCas0129	csc1gr5	CAS-I-D	Type_I-D_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5d/Csc1	-
mkCas0176	csc1gr5	CAS-I-D	Type_I-D_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5d/Csc1	-
cd09709	csc2gr7	CAS-I-D	Type_I-D_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7d/Csc2	-
cd09712	cas10d	CAS-I-D	Type_I-D_CRISPR_system_effector_complex_large_subunit_Cas10d	I-D
cls000132	cas10d	CAS-I-D	Type_I-D_CRISPR_system_effector_complex_large_subunit_Cas10d	I-D
cls000621	cas10d	CAS-I-D	Type_I-D_CRISPR_system_effector_complex_large_subunit_Cas10d	I-D
cls000672	cas10d	CAS-I-D	Type_I-D_CRISPR_system_effector_complex_large_subunit_Cas10d	I-D
mkCas0103	cas10d	CAS-I-D	Type_I-D_CRISPR_system_effector_complex_large_subunit_Cas10d	I-D
mkCas0140	cas10d	CAS-I-D	Type_I-D_CRISPR_system_effector_complex_large_subunit_Cas10d	I-D
mkCas0201	cas10d	CAS-I-D	Type_I-D_CRISPR_system_effector_complex_large_subunit_Cas10d	I-D
cd09719	cas1	CAS-I-E	Type_I-E_CRISPR-Cas_system_spacer_integrase_Cas1	-
cd09648	cas2	CAS-I-E	Type_I-E_CRISPR-Cas_system_protein_Cas2	-
cd09755	cas2	CAS-I-E	Type_I-E_CRISPR-Cas_system_protein_Cas2	-
pfam09707	cas2	CAS-I-E	Type_I-E_CRISPR-Cas_system_protein_Cas2	-
cd09645	cas5	CAS-I-E	Type_I-E_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5	-
cd09756	cas5	CAS-I-E	Type_I-E_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5	-
cd09664	cas6e	CAS-I-E	Type_I-E_CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6e	-
cd09727	cas6e	CAS-I-E	Type_I-E_CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6e	-
cd09646	cas7	CAS-I-E	Type_I-E_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7	-
pfam09344	cas7	CAS-I-E	Type_I-E_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7	-
cd09669	cas8e	CAS-I-E	Type_I-E_CRISPR_system_effector_complex_large_subunit_Cas8e	I-E
cd09729	cas8e	CAS-I-E	Type_I-E_CRISPR_system_effector_complex_large_subunit_Cas8e	I-E
cls000028	cas8e	CAS-I-E	Type_I-E_CRISPR_system_effector_complex_large_subunit_Cas8e	I-E
cls000721	cas8e	CAS-I-E	Type_I-E_CRISPR_system_effector_complex_large_subunit_Cas8e	I-E
pfam09481	cas8e	CAS-I-E	Type_I-E_CRISPR_system_effector_complex_large_subunit_Cas8e	I-E
cd09670	cse2gr11	CAS-I-E	Type_I-E_CRISPR_system_effector_complex_small_subunit_Cse2	I-E
cd09731	cse2gr11	CAS-I-E	Type_I-E_CRISPR_system_effector_complex_small_subunit_Cse2	I-E
mkCas0096	cse2gr11	CAS-I-E	Type_I-E_CRISPR_system_effector_complex_small_subunit_Cse2	I-E
mkCas0171	cse2gr11	CAS-I-E	Type_I-E_CRISPR_system_effector_complex_small_subunit_Cse2	I-E
mkCas0194	cse2gr11	CAS-I-E	Type_I-E_CRISPR_system_effector_complex_small_subunit_Cse2	I-E
mkCas0196	cse2gr11	CAS-I-E	Type_I-E_CRISPR_system_effector_complex_small_subunit_Cse2	I-E
pfam09485	cse2gr11	CAS-I-E	Type_I-E_CRISPR_system_effector_complex_small_subunit_Cse2	I-E
pfam08798	cas6e	CAS-I-E,CAS-IV	CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6	-
cd09718	cas1	CAS-I-F	Type_I-F_CRISPR-Cas_system_spacer_integrase_Cas1	-
cd09673	cas3f	CAS-I-F	Type_I-F_CRISPR-Cas_system_helicase_and_endonuclease_Cas3,_fused_to_Cas2	-
cls000078	cas5	CAS-I-F	Type_I-F_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5f	-
cd09676	cas5f	CAS-I-F	Type_I-F_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5f	-
cd09736	cas5f	CAS-I-F	Type_I-F_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5f	-
pfam09614	cas5f	CAS-I-F	Type_I-F_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5f	-
cls000079	cas7f	CAS-I-F	Type_I-F_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7f	-
cd09677	cas7f	CAS-I-F	Type_I-F_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7f	-
cd09737	cas7f	CAS-I-F	Type_I-F_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7f	-
pfam09615	cas7f	CAS-I-F	Type_I-F_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7f	-
cd09674	cas6f	CAS-I-F	Type_I-F_CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6f	I-F
pfam09618	cas6f	CAS-I-F	Type_I-F_CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6f	I-F
cd09675	cas8f	CAS-I-F	Type_I-F_CRISPR_system_effector_complex_large_subunit_Cas8f	I-F
cd09735	cas8f	CAS-I-F	Type_I-F_CRISPR_system_effector_complex_large_subunit_Cas8f	I-F
cls000148	cas8f	CAS-I-F	Type_I-F_CRISPR_system_effector_complex_large_subunit_Cas8f	I-F
cls000849	cas8f	CAS-I-F	Type_I-F_CRISPR_system_effector_complex_large_subunit_Cas8f	I-F
pfam09611	cas8f	CAS-I-F	Type_I-F_CRISPR_system_effector_complex_large_subunit_Cas8f	I-F
cd09739	cas6f	CAS-I-F,CAS-IV	CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6	I-F
cd09696	cas3	CAS-I-U	Type_I-U_CRISPR-Cas_system_helicase_and_endonuclease_Cas3	I-U
cd09667	cas5u	CAS-I-U	Type_I-U_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5u	I-U
cd09734	cas5u	CAS-I-U	Type_I-U_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5u	I-U
cd09678	cas7	CAS-I-U	Type_I-U_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7u	I-U
cd09738	cas7	CAS-I-U	Type_I-U_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7u	I-U
cd09767	cas8u1	CAS-I-U	Type_I-U_CRISPR_system_effector_complex_large_subunit_Cas8u1	I-U
mkCas0114	cas8u1	CAS-I-U	Type_I-U_CRISPR_system_effector_complex_large_subunit_Cas8u1	I-U
cd09765	cas8u2	CAS-I-U	Type_I-U_CRISPR_system_effector_complex_large_subunit_Cas8u2	I-U
cls001042	cas8u2	CAS-I-U	Type_I-U_CRISPR_system_effector_complex_large_subunit_Cas8u2	I-U
pfam09617	csb1gr7	CAS-I-U	Type_I-U_CRISPR_system_effector_complex_RAMP_protein_Cas7u/Csb1	I-U
cls000315	csb2gr5	CAS-I-U	Type_I-U_CRISPR_system_effector_complex_RAMP_protein_Cas5u/Csb2	I-U
pfam09609	csb2gr5	CAS-I-U	Type_I-U_CRISPR_system_effector_complex_RAMP_protein_Cas5u/Csb2	I-U
cd09764	csb3	CAS-I-U	Type_I-U_CRISPR_system_effector_complex_protein_Csb3	I-U
cd09636	cas1	CAS-I,CAS-II,CAS-III	CRISPR-Cas_system_spacer_integrase_Cas1	-
COG1518	cas1	CAS-I,CAS-II,CAS-III	CRISPR-Cas_system_spacer_integrase_Cas1	-
pfam01867	cas1	CAS-I,CAS-II,CAS-III	CRISPR-Cas_system_spacer_integrase_Cas1	-
cd09638	cas2	CAS-I,CAS-II,CAS-III	CRISPR-Cas_system_protein_Cas2	-
COG1343	cas2	CAS-I,CAS-II,CAS-III	CRISPR-Cas_system_protein_Cas2	-
mkCas0081	cas2	CAS-I,CAS-II,CAS-III	CRISPR-Cas_system_protein_Cas2	-
mkCas0128	cas2	CAS-I,CAS-II,CAS-III	CRISPR-Cas_system_protein_Cas2	-
mkCas0179	cas2	CAS-I,CAS-II,CAS-III	CRISPR-Cas_system_protein_Cas2	-
mkCas0206	cas2	CAS-I,CAS-II,CAS-III	CRISPR-Cas_system_protein_Cas2	-
pfam09827	cas2	CAS-I,CAS-II,CAS-III	CRISPR-Cas_system_protein_Cas2	-
cd09634	cas1	CAS-I,CAS-II,CAS-III,CAS-V	CRISPR-Cas_system_spacer_integrase_Cas1	-
cd09725	cas2	CAS-I,CAS-II,CAS-III,CAS-V	CRISPR-Cas_system_protein_Cas2	-
cd09637	cas4	CAS-I,CAS-II,CAS-V	CRISPR-Cas_system_endonuclease_Cas4_	-
cd09652	cas6	CAS-I,CAS-III	CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6	-
cd09703	cas6	CAS-I,CAS-III	CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6	-
cd09733	cas6	CAS-I,CAS-III	CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6	-
cls000004	cas6	CAS-I,CAS-III	CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6	-
mkCas0062	cas6	CAS-I,CAS-III	CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6	-
mkCas0066	cas6	CAS-I,CAS-III	CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6	-
mkCas0091	cas6	CAS-I,CAS-III	CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6	-
mkCas0166	cas6	CAS-I,CAS-III	CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6	-
pfam01881	cas6	CAS-I,CAS-III	CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6	-
pfam09559	cas6	CAS-I,CAS-III	CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6	-
cd09766	csx15	CAS-I,CAS-III	Type_III_CRISPR_system_associated_protein_Csx15	-
cd09695	csx16	CAS-I,CAS-III	Type_III_CRISPR_system_associated_protein_Csx16	-
cd09743	csx16	CAS-I,CAS-III	Type_III_CRISPR_system_associated_protein_Csx16	-
pfam09652	csx16	CAS-I,CAS-III	Type_III_CRISPR_system_associated_protein_Csx16	-
cls000006	csx18	CAS-I,CAS-III	Type_III_CRISPR_system_associated_protein_Csx18	-
cls000023	csx20	CAS-I,CAS-III	Type_III_CRISPR_system_associated_protein_Csx20	-
cls000118	csx20	CAS-I,CAS-III	Type_III_CRISPR_system_associated_protein_Csx20	-
xls002255	csx20	CAS-I,CAS-III	Type_III_CRISPR_system_associated_protein_Csx20	-
cd09681	csx3	CAS-I,CAS-III	CRISPR-associated_protein_Csx3,_exoribonuclease_with_ferredoxin_fold	-
cd09740	csx3	CAS-I,CAS-III	CRISPR-associated_protein_Csx3,_exoribonuclease_with_ferredoxin_fold	-
mkCas0115	csx3	CAS-I,CAS-III	CRISPR-associated_protein_Csx3,_exoribonuclease_with_ferredoxin_fold	-
pfam09620	csx3	CAS-I,CAS-III	CRISPR-associated_protein_Csx3,_exoribonuclease_with_ferredoxin_fold	-
COG4804	PD-DExK	CAS-I,CAS-III	CRISPR_system_associated_nuclease_PD-DExK_family	-
mkCas0061	PD-DExK	CAS-I,CAS-III	CRISPR_system_associated_nuclease_PD-DExK_family	-
mkCas0090	PD-DExK	CAS-I,CAS-III	CRISPR_system_associated_nuclease_PD-DExK_family	-
COG4951	PrimPol	CAS-I,CAS-III	CRISPR_system_associated_PrimPol_family_protein	-
pfam08800	PrimPol	CAS-I,CAS-III	CRISPR_system_associated_PrimPol_family_protein	-
pfam00078	RT	CAS-I,CAS-III	CRISPR_system_associated_reverse_transcriptase_family_protein	-
COG2378	WYL	CAS-I,CAS-III	CRISPR_system_regulatory_WYL_protein	-
mkCas0075	WYL	CAS-I,CAS-III	CRISPR_system_regulatory_WYL_protein	-
mkCas0110	WYL	CAS-I,CAS-III	CRISPR_system_regulatory_WYL_protein	-
pfam13280	WYL	CAS-I,CAS-III	CRISPR_system_regulatory_WYL_protein	-
COG1583	cas6	CAS-I,CAS-III,CAS-IV	CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6	-
cd09644	csn2	CAS-II-A	Type_II-A_CRISPR_system_associated_protein_Csn2	II-A
cd09758	csn2	CAS-II-A	Type_II-A_CRISPR_system_associated_protein_Csn2	II-A
cd12217	csn2	CAS-II-A	Type_II-A_CRISPR_system_associated_protein_Csn2	II-A
cd12218	csn2	CAS-II-A	Type_II-A_CRISPR_system_associated_protein_Csn2	II-A
cls000024	csn2	CAS-II-A	Type_II-A_CRISPR_system_associated_protein_Csn2	II-A
pfam09711	csn2	CAS-II-A	Type_II-A_CRISPR_system_associated_protein_Csn2	II-A
cd09720	cas1	CAS-II-A,CAS-II-B,CAS-II-C	CRISPR-Cas_system_spacer_integrase_Cas1	-
COG3512	cas2	CAS-II-A,CAS-II-B,CAS-II-C	Type_II_CRISPR-Cas_system_protein_Cas2	-
cd09643	cas9	CAS-II-A,CAS-II-B,CAS-II-C	Type_II_CRISPR_system_multifuctional_protein_Cas9	II
COG3513	cas9	CAS-II-A,CAS-II-B,CAS-II-C	Type_II_CRISPR_system_multifuctional_protein_Cas9	II
mkCas0193	cas9	CAS-II-A,CAS-II-B,CAS-II-C	Type_II_CRISPR_system_multifuctional_protein_Cas9	II
cd09704	cas9	CAS-II-B	Type_II-B_CRISPR_system_multifuctional_protein_Cas9	II
cd09760	cas6	CAS-III	CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6	-
cls000976	cas6	CAS-III	CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6	-
COG5551	cas6	CAS-III	CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6	-
cd09660	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
cd09668	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
cd09671	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
cd09686	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
cd09702	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
cd09723	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
cd09728	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
cd09732	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
cd09741	csx1	CAS-III	Type_III_CRISPR_system_associated__CARF_protein_Csx1	-
